Title,Teacher,Grade,Taken,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5,Academic-year
CNN for Aspect Based Arabic Sentiment Analysis,TEBBANI  Fatiha,Maitre assistant classe A,TRUE,F3I,IFIA,GL,IDTW,RSD,2022-2023
RNN for Aspect Based Arabic Sentiment Analysis,TEBBANI  Fatiha,Maitre assistant classe A,TRUE,F3I,IFIA,GL,IDTW,RSD,2022-2023
Les protocoles de communication dans les réseaux IoT.,KANOUNI  Lakhdar,Maitre assistant classe A,TRUE,RSD,IFIA,F3I,IDTW,GL,2022-2023
La délivrance des données dans les réseaux IoT.,KANOUNI  Lakhdar,Maitre assistant classe A,TRUE,RSD,IFIA,F3I,IDTW,GL,2022-2023
Etude comparative des protocoles de détection des nœuds frontières dans les réseaux de capteurs sans fil.,LAMRAOUI  Amar,Maitre assistant classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,2022-2023
Implémentation d’un protocole de routage dans les réseaux de capteurs sans fil a base d'un système de cordonnées virtuelles,LAMRAOUI  Amar,Maitre assistant classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,2022-2023
Application de l’algorithme Fixed Set Search aux problèmes d’optimisation combinatoire,BOUAMAMA  Salim,Professeur,TRUE,RSD,IFIA,IDTW,F3I,GL,2022-2023
Biobjective optimization approach for the minimum weight dominating set,BOUAMAMA  Salim,Professeur,FALSE,RSD,IDTW,IFIA,GL,F3I,2022-2023
Conception et réalisation d'une application pour la gestion numérique de l'école (e-school),BESSOU  Sadik,Maitre de conferences classe A,TRUE,IDTW,GL,F3I,IFIA,RSD,2022-2023
Role of Text Pre-Processing in Arabic Sentiment Analysis on social media; Use case: Algerian dialect sentiment analysis on Twitter.,BESSOU  Sadik,Maitre de conferences classe A,TRUE,IDTW,F3I,IFIA,GL,RSD,2022-2023
High utility itemsets mining,KARA Mohamed  Chafia,Maitre de conferences classe A,FALSE,IDTW,F3I,IFIA,RSD,GL,2022-2023
Sentiment Analysis using Machine Learning,KARA Mohamed  Chafia,Maitre de conferences classe A,TRUE,IFIA,F3I,IDTW,RSD,GL,2022-2023
Pre-processing for medical images,KARA Mohamed  Chafia,Maitre de conferences classe A,TRUE,F3I,IFIA,IDTW,RSD,GL,2022-2023
Context-independent word embedding methods in deep learning for Arabic document classification.,KARA Mohamed  Chafia,Maitre de conferences classe A,TRUE,IDTW,IFIA,F3I,RSD,GL,2022-2023
Edge Computing in Internet of Things,GHERBI  Chirihane,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,F3I,GL,2022-2023
Machine Learning for Securing Software-Defined Networking,GHERBI  Chirihane,Maitre de conferences classe A,TRUE,RSD,IFIA,IDTW,F3I,GL,2022-2023
Sentiment Analysis for Arabic Code-Switched Text Data,Harrag  Fouzi,Maitre de conferences classe A,FALSE,IDTW,F3I,IFIA,GL,RSD,2022-2023
Exploring Anti-Muslim Bias in Generative Models,Harrag  Fouzi,Maitre de conferences classe A,FALSE,IDTW,F3I,IFIA,GL,RSD,2022-2023
Ethical Natural Language Interventions to controll Text-to-Image Generative Models,Harrag  Fouzi,Maitre de conferences classe A,FALSE,F3I,IDTW,IFIA,GL,RSD,2022-2023
Fighting Deepfake texts via Controllable Text Generation,Harrag  Fouzi,Maitre de conferences classe A,TRUE,F3I,IDTW,IFIA,GL,RSD,2022-2023
Security and authentication in Internet of things,Cherbal  Sara,Maitre de conferences classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,2022-2023
Blockchain security in internet of things,Cherbal  Sara,Maitre de conferences classe A,TRUE,RSD,IDTW,IFIA,F3I,GL,2022-2023
Approches heuristiques et métaheuristiques pour le problème de l'ensemble dominant à poids minimal dans les graphes orientés,BALBAL  Samir,Maitre de conferences classe B,FALSE,IDTW,RSD,IFIA,F3I,GL,2022-2023
Placement de services de sécurité dans l’IoT,BALBAL  Samir,Maitre de conferences classe B,TRUE,RSD,IDTW,F3I,IFIA,GL,2022-2023
Apprentissage par renforcement pour la reconnaissance de la parole,Frihia  hamza,Maitre de conferences classe B,TRUE,IFIA,F3I,IDTW,GL,RSD,2022-2023
Smart Web application to support medical diagnosis decision making,Ferradji  mohamed,Maitre de conferences classe B,TRUE,IDTW,IFIA,F3I,RSD,GL,2022-2023
Comparative study of population-based metaheuristic algorithms for Adaptive Network-based on Fuzzy Inference System parameters optimization,Ferradji  mohamed,Maitre de conferences classe B,FALSE,IDTW,IFIA,F3I,RSD,GL,2022-2023
